iter	Logloss
0	0.687722186
1	0.6832211409
2	0.6778675607
3	0.6734601365
4	0.6690437552
5	0.6638907111
6	0.6604496703
7	0.6557190819
8	0.6514750776
9	0.6472777439
10	0.6433106489
11	0.6386836644
12	0.6360076429
13	0.6313154269
14	0.6271339273
15	0.6233974917
16	0.6198138072
17	0.6162360034
18	0.6116377797
19	0.6077845279
20	0.6041463148
21	0.600655612
22	0.5969392049
23	0.5935033176
24	0.5907572845
25	0.5881423088
26	0.584756656
27	0.5813144262
28	0.5775760242
29	0.5744808778
30	0.5710296496
31	0.5674520366
32	0.5642187805
33	0.5609393581
34	0.5575468677
35	0.5536846575
36	0.5501457408
37	0.54854727
38	0.5458382819
39	0.5424863242
40	0.5391169293
41	0.5360992972
42	0.5325655404
43	0.5296403973
44	0.526249678
45	0.5235427974
46	0.5204804959
47	0.5177873533
48	0.5146494096
49	0.5120183788
50	0.5095297624
51	0.5068050631
52	0.503879122
53	0.5015723613
54	0.4985997025
55	0.4962922076
56	0.4936842967
57	0.4910331263
58	0.488547802
59	0.4861677175
60	0.4837729107
61	0.4819198349
62	0.4793786493
63	0.47747037
64	0.4752394376
65	0.4728431558
66	0.4698158049
67	0.46773601
68	0.4661493894
69	0.4638605493
70	0.4614587845
71	0.4590585551
72	0.4565458168
73	0.4541259032
74	0.4518594876
75	0.4497631503
76	0.4480871977
77	0.446081379
78	0.4439090802
79	0.4421478591
80	0.4397118336
81	0.4381212185
82	0.4361546897
83	0.4340489349
84	0.4318772927
85	0.4303779986
86	0.4283187257
87	0.4270076657
88	0.4254006987
89	0.4240141863
90	0.4227515282
91	0.421514214
92	0.4197723009
93	0.4183734505
94	0.4167407006
95	0.4148103631
96	0.4129756666
97	0.4117170751
98	0.4093157465
99	0.4075722568
100	0.4056372418
101	0.4039527909
102	0.4021226046
103	0.4005446945
104	0.3992326877
105	0.397821868
106	0.3962394867
107	0.3942389651
108	0.3929982452
109	0.3917739431
110	0.3901874576
111	0.3886939338
112	0.3876670582
113	0.3866021671
114	0.38556405
115	0.3846046006
116	0.3832139821
117	0.3814087117
118	0.3800340488
119	0.3787957719
120	0.3777188375
121	0.3766184449
122	0.3760351726
123	0.374899019
124	0.3738633963
125	0.3728478554
126	0.3715323338
127	0.3699712906
128	0.3685733273
129	0.3673850171
130	0.3664377646
131	0.3654842355
132	0.3645089124
133	0.363188625
134	0.3617772292
135	0.3600438094
136	0.3583615309
137	0.3573959014
138	0.3564983039
139	0.35512578
140	0.3540220189
141	0.3531771375
142	0.3518961009
143	0.3509103253
144	0.3496995288
145	0.3484199128
146	0.3469723162
147	0.3457591822
148	0.3445540925
149	0.3434699214
150	0.3430022858
151	0.3420131738
152	0.3413902534
153	0.3408069549
154	0.3396320604
155	0.3387887663
156	0.3375582956
157	0.3367054311
158	0.3353803056
159	0.3347955885
160	0.3344760897
161	0.3337103864
162	0.3329169737
163	0.3319680852
164	0.3314382913
165	0.3303194696
166	0.3294005212
167	0.3283363658
168	0.3271080702
169	0.3261107948
170	0.3250721495
171	0.3237734069
172	0.3226106978
173	0.3219468797
174	0.3212300428
175	0.3202794047
176	0.3195857652
177	0.3186649695
178	0.3181207531
179	0.3174635427
180	0.3164712665
181	0.3158813676
182	0.3151290556
183	0.3143542247
184	0.3135279543
185	0.3123836203
186	0.3115410071
187	0.3106620469
188	0.30993358
189	0.3091706054
190	0.3081074944
191	0.3070334518
192	0.3065378179
193	0.3056326732
194	0.3048671808
195	0.3040086866
196	0.3032654354
197	0.3023048619
198	0.3013353691
199	0.3009177852
200	0.2997620919
201	0.2988001715
202	0.2982438988
203	0.2973629873
204	0.2965535141
205	0.2963874731
206	0.2959058255
207	0.2950170877
208	0.2944684881
209	0.293784664
210	0.2931042184
211	0.2923742999
212	0.2915580641
213	0.2905547625
214	0.2898920273
215	0.2891267079
216	0.2885211559
217	0.287755452
218	0.286756411
219	0.2858655839
220	0.2853243809
221	0.284522725
222	0.2834994913
223	0.2830815024
224	0.2823951352
225	0.281835801
226	0.2812952768
227	0.2804496859
228	0.2797066542
229	0.2792716306
230	0.2788182898
231	0.2780310192
232	0.2772014562
233	0.2763576269
234	0.2758522649
235	0.2751339417
236	0.2744000851
237	0.2737473307
238	0.2733977796
239	0.2727550697
240	0.2719065992
241	0.2715253364
242	0.2708513277
243	0.2700727188
244	0.2692828893
245	0.2688998501
246	0.2682254959
247	0.2674688002
248	0.2668409215
249	0.2661554211
250	0.2657477296
251	0.2652280504
252	0.2649091125
253	0.2648082783
254	0.2641975604
255	0.2635741183
256	0.2633010973
257	0.2628689449
258	0.2624262616
259	0.2618830727
260	0.2613424105
261	0.2604445032
262	0.2596756623
263	0.2590218814
264	0.2584446005
265	0.2580521705
266	0.2574522163
267	0.2568936227
268	0.2563276118
269	0.255870014
270	0.255580951
271	0.2549351486
272	0.2544279865
273	0.2537016523
274	0.2530629429
275	0.2524718506
276	0.2521131758
277	0.2517683123
278	0.2510288826
279	0.2505293337
280	0.2500917411
281	0.2495483458
282	0.2492618799
283	0.2486416976
284	0.2479811401
