iter	Passed	Remaining
0	1	1154
1	4	2238
2	7	2488
3	8	2116
4	14	2811
5	16	2726
6	17	2502
7	18	2340
8	23	2557
9	28	2857
10	30	2766
11	33	2756
12	35	2680
13	36	2595
14	38	2529
15	41	2535
16	42	2448
17	49	2713
18	50	2609
19	51	2522
20	52	2439
21	53	2373
22	54	2305
23	55	2243
24	56	2195
25	65	2469
26	66	2413
27	71	2465
28	74	2497
29	75	2456
30	80	2501
31	80	2446
32	81	2396
33	82	2347
34	86	2392
35	87	2345
36	88	2313
37	89	2263
38	90	2224
39	91	2186
40	92	2164
41	93	2129
42	94	2097
43	95	2066
44	95	2037
45	101	2101
46	103	2102
47	104	2077
48	105	2050
49	106	2031
50	107	2008
51	108	1984
52	109	1959
53	110	1936
54	112	1937
55	114	1925
56	115	1903
57	116	1890
58	117	1875
59	120	1895
60	122	1879
61	122	1860
62	127	1901
63	129	1897
64	130	1879
65	131	1861
66	132	1846
67	134	1847
68	138	1873
69	140	1862
70	143	1874
71	148	1909
72	149	1895
73	153	1916
74	155	1919
75	156	1901
76	159	1907
77	161	1907
78	163	1901
79	164	1890
80	166	1893
81	167	1879
82	168	1865
83	171	1869
84	172	1855
85	173	1840
86	174	1826
87	174	1813
88	175	1799
89	176	1785
90	177	1772
91	178	1759
92	179	1747
93	180	1743
94	183	1749
95	184	1740
96	185	1728
97	186	1716
98	187	1705
99	188	1698
100	189	1690
101	192	1691
102	192	1680
103	193	1670
104	195	1664
105	196	1653
106	196	1642
107	197	1632
108	198	1622
109	201	1630
110	202	1624
111	203	1615
112	205	1611
113	208	1623
114	212	1632
115	216	1647
116	218	1652
117	221	1652
118	223	1654
119	227	1665
120	229	1664
121	230	1660
122	231	1652
123	234	1658
124	235	1651
125	238	1655
126	239	1646
127	241	1647
128	243	1642
129	244	1636
130	245	1630
131	246	1624
132	247	1616
133	248	1607
134	249	1598
135	250	1590
136	251	1582
137	252	1574
138	253	1569
139	254	1564
140	255	1557
141	256	1549
142	257	1543
143	259	1541
144	260	1534
145	261	1528
146	262	1525
147	263	1519
148	264	1512
149	265	1505
150	266	1499
151	267	1494
152	269	1489
153	269	1482
154	272	1485
155	273	1480
156	274	1474
157	275	1468
158	276	1462
159	278	1461
160	278	1453
161	280	1451
162	282	1451
163	283	1445
164	284	1440
165	285	1434
166	286	1431
167	287	1425
168	289	1421
169	290	1416
170	291	1411
171	292	1408
172	293	1403
173	295	1402
174	297	1400
175	298	1397
176	300	1395
177	301	1392
178	302	1387
179	303	1381
180	304	1377
181	305	1372
182	306	1366
183	307	1362
184	308	1357
185	309	1353
186	311	1354
187	313	1352
188	314	1347
189	315	1344
190	317	1343
191	318	1338
192	319	1334
193	320	1330
194	321	1325
195	321	1320
196	323	1318
197	325	1319
198	328	1322
199	329	1318
200	330	1314
201	331	1309
202	332	1305
203	333	1301
204	334	1298
205	335	1292
206	336	1288
207	337	1284
208	338	1279
209	339	1275
210	340	1271
211	340	1267
212	341	1263
213	343	1260
214	343	1255
215	344	1252
216	346	1249
217	347	1245
218	348	1241
219	348	1237
220	350	1233
221	350	1229
222	352	1226
223	353	1222
224	354	1219
225	355	1215
226	356	1212
227	357	1208
228	357	1204
229	358	1201
230	359	1198
231	364	1207
232	368	1214
233	369	1210
234	370	1206
235	371	1202
236	372	1198
237	373	1194
238	373	1190
239	374	1186
240	375	1182
241	377	1182
242	378	1179
243	380	1177
244	383	1183
245	384	1179
246	385	1175
247	386	1172
248	387	1169
249	388	1165
250	389	1162
251	390	1159
252	391	1156
253	391	1151
254	392	1147
255	393	1144
256	394	1140
257	398	1145
258	399	1142
259	400	1139
260	401	1135
261	401	1132
262	402	1128
263	403	1125
264	404	1122
265	405	1119
266	406	1117
267	408	1114
268	409	1113
269	410	1110
270	413	1112
271	414	1108
272	415	1105
273	416	1103
274	417	1100
275	420	1104
276	421	1101
277	422	1097
278	423	1094
279	424	1091
280	425	1088
281	426	1085
282	427	1082
283	428	1080
284	429	1077
285	430	1073
286	432	1073
287	432	1069
288	433	1067
289	435	1066
290	436	1063
291	437	1060
292	439	1059
293	440	1057
294	441	1054
295	442	1052
296	445	1053
297	445	1050
298	446	1047
299	447	1043
300	448	1040
301	448	1037
302	450	1037
303	451	1034
304	452	1031
305	454	1029
306	456	1029
307	460	1034
308	461	1031
309	461	1028
310	462	1025
311	463	1022
312	465	1021
313	470	1027
314	471	1024
315	471	1021
316	472	1018
317	473	1015
318	474	1013
319	475	1010
320	476	1007
321	477	1005
322	478	1002
323	479	999
324	480	997
325	482	996
326	483	994
327	484	991
328	485	989
329	487	989
330	488	986
331	489	984
332	490	981
333	491	979
334	492	978
335	494	976
336	495	974
337	496	972
338	497	970
339	499	968
340	500	966
341	501	965
342	503	963
343	504	961
344	505	958
345	508	961
346	509	958
347	510	956
348	511	954
349	512	951
350	513	949
351	514	946
352	515	943
353	515	941
354	517	939
355	518	937
356	519	934
357	520	932
358	520	930
359	521	927
360	522	925
361	523	922
362	524	920
363	526	919
364	527	917
365	530	918
366	531	916
367	532	914
368	533	912
369	534	910
370	535	908
371	536	906
372	537	904
373	538	901
374	539	899
375	540	897
376	541	894
377	542	892
378	543	890
379	544	887
380	545	885
381	548	887
382	549	885
383	550	883
384	551	881
385	552	879
386	553	876
387	554	874
388	555	872
389	556	870
390	557	868
391	558	865
392	559	863
393	560	861
394	561	859
395	562	857
396	563	855
397	564	853
398	565	851
399	566	849
400	567	847
401	568	845
402	568	842
403	569	840
404	570	838
405	571	835
406	572	834
407	575	834
408	576	832
409	577	830
410	578	828
411	578	826
412	579	824
413	580	821
414	581	819
415	582	817
416	583	815
417	584	813
418	585	811
419	586	809
420	586	807
421	587	804
422	588	802
423	589	800
424	590	798
425	591	796
426	592	794
427	592	792
428	593	790
429	594	788
430	595	786
431	596	784
432	597	782
433	598	780
434	599	778
435	599	776
436	600	773
437	601	771
438	601	769
439	602	767
440	603	764
441	604	763
442	605	761
443	606	759
444	607	757
445	608	755
446	609	753
447	609	751
448	610	749
449	611	747
450	612	745
451	613	743
452	614	741
453	615	739
454	615	737
455	617	736
456	618	735
457	619	733
458	620	731
459	621	729
460	622	727
461	624	726
462	624	724
463	626	723
464	627	721
465	628	719
466	628	717
467	629	715
468	630	713
469	631	712
470	633	711
471	636	711
472	637	710
473	638	708
474	639	706
475	639	704
476	646	708
477	647	707
478	649	705
479	651	705
480	652	703
481	653	701
482	655	701
483	661	704
484	661	702
485	662	701
486	663	699
487	664	697
488	665	695
489	666	693
490	667	691
491	668	690
492	669	688
493	675	691
494	676	690
495	677	688
496	678	686
497	679	684
498	680	682
499	681	681
500	681	679
501	682	677
502	686	678
503	687	676
504	687	674
505	688	672
506	689	670
507	690	668
508	691	666
509	692	665
510	693	663
511	694	661
512	695	659
513	698	660
514	704	663
515	705	661
516	706	659
517	706	657
518	707	655
519	709	655
520	712	654
521	714	654
522	715	652
523	716	651
524	718	650
525	720	649
526	721	647
527	722	646
528	723	644
529	724	642
530	725	640
531	726	638
532	727	637
533	728	635
534	729	633
535	730	632
536	731	630
537	732	628
538	733	627
539	734	625
540	735	623
541	736	622
542	737	620
543	738	619
544	739	617
545	740	615
546	744	616
547	745	614
548	746	612
549	746	611
550	750	611
551	751	609
552	752	608
553	753	606
554	754	604
555	755	603
556	756	601
557	757	599
558	758	598
559	759	596
560	760	595
561	761	593
562	762	592
563	763	590
564	764	588
565	765	587
566	766	585
567	767	583
568	768	582
569	769	580
570	770	578
571	771	577
572	773	576
573	774	574
