iter	RMSE
0	2.532460489
1	2.526690092
2	2.520850947
3	2.516866281
4	2.511303763
5	2.506559578
6	2.49958311
7	2.495703679
8	2.490153079
9	2.487831827
10	2.483006661
11	2.476501533
12	2.472110109
13	2.470921154
14	2.469856755
15	2.466570724
16	2.46112761
17	2.457104964
18	2.453824581
19	2.450941595
20	2.449231201
21	2.446389618
22	2.443524194
23	2.438877941
24	2.436505881
25	2.432810996
26	2.431561917
27	2.429227026
28	2.427050284
29	2.425490305
30	2.423546904
31	2.420389369
32	2.416989911
33	2.412585369
34	2.406776401
35	2.404636413
36	2.403275238
37	2.401013959
38	2.39687302
39	2.394809433
40	2.38727434
41	2.385432088
42	2.384511628
43	2.38339649
44	2.381785498
45	2.378195302
46	2.377676166
47	2.376367516
48	2.375569821
49	2.374784649
50	2.372904534
51	2.37105524
52	2.368151562
53	2.366339701
54	2.365920039
55	2.365603139
56	2.36445779
57	2.362260561
58	2.360358664
59	2.359375296
60	2.358342818
61	2.354247408
62	2.352741786
63	2.349530247
64	2.34706503
65	2.344290037
66	2.341668228
67	2.3396592
68	2.336595095
69	2.334740028
70	2.333885054
71	2.332301651
72	2.3306102
73	2.329562174
74	2.328637257
75	2.327865723
76	2.327486491
77	2.326597466
78	2.325007045
79	2.323084766
80	2.320972768
81	2.319734994
82	2.317691922
83	2.316621445
84	2.315558265
85	2.312860075
86	2.311694347
87	2.310486652
88	2.308480003
89	2.30747133
90	2.30572158
91	2.304806442
92	2.304182074
93	2.30343695
94	2.301905701
95	2.301027938
96	2.300107937
97	2.299042525
98	2.298348945
99	2.297450257
100	2.296184178
101	2.295086068
102	2.294664244
103	2.293526042
104	2.292799084
105	2.291912353
106	2.290371133
107	2.289778879
108	2.289524288
109	2.287307097
110	2.286163561
111	2.285505522
112	2.284676675
113	2.283124753
114	2.280488224
115	2.279333707
116	2.278248381
117	2.277602195
118	2.276417094
119	2.27562427
120	2.274558281
121	2.274044435
122	2.273758772
123	2.27315167
124	2.271862154
125	2.271419608
126	2.270381477
127	2.269720749
128	2.269117394
129	2.266843234
130	2.266624626
131	2.266081064
132	2.265251307
133	2.264078386
134	2.263403971
135	2.262621111
136	2.261524301
137	2.260981266
138	2.259774472
139	2.259539882
140	2.259254157
141	2.258541085
142	2.258012484
143	2.257439954
144	2.256673481
145	2.255227544
146	2.25263401
147	2.251832773
148	2.250990549
149	2.249681304
150	2.249288638
151	2.248615372
152	2.248179659
