iter	Passed	Remaining
0	49	49460
1	52	26187
2	55	18481
3	58	14546
4	62	12471
5	68	11323
6	74	10505
7	79	9840
8	84	9313
9	90	8925
10	95	8591
11	100	8286
12	113	8633
13	122	8609
14	132	8699
15	138	8526
16	141	8187
17	144	7881
18	148	7679
19	152	7467
20	155	7239
21	158	7024
22	160	6825
23	163	6643
24	166	6491
25	169	6336
26	171	6194
27	174	6064
28	179	6023
29	182	5909
30	187	5869
31	194	5890
32	198	5811
33	202	5741
34	205	5662
35	208	5575
36	211	5514
37	214	5441
38	217	5368
39	220	5293
40	223	5222
41	226	5161
42	228	5096
43	231	5036
44	235	4987
45	238	4942
46	241	4893
47	244	4840
48	247	4801
49	250	4760
50	253	4712
51	256	4672
52	258	4627
53	262	4590
54	267	4590
55	270	4558
56	273	4518
57	276	4485
58	279	4454
59	282	4418
60	284	4382
61	287	4348
62	290	4319
63	293	4288
64	296	4258
65	299	4239
66	302	4209
67	304	4179
68	307	4151
69	310	4130
70	313	4106
71	316	4078
72	319	4052
73	321	4028
74	324	4004
75	327	3986
76	330	3963
77	333	3943
78	336	3920
79	339	3899
80	342	3884
81	345	3866
82	348	3850
83	351	3829
84	354	3814
85	357	3801
86	360	3783
87	363	3767
88	366	3748
89	368	3730
90	371	3712
91	374	3696
92	377	3679
93	380	3664
94	384	3664
95	387	3648
96	390	3634
97	394	3626
98	396	3610
99	399	3595
100	402	3579
101	404	3564
102	408	3553
103	410	3539
104	413	3524
105	416	3510
106	419	3497
107	421	3484
108	424	3467
109	427	3455
110	429	3441
111	432	3428
112	435	3414
113	437	3401
114	440	3389
115	443	3379
116	446	3367
117	449	3360
118	456	3381
119	459	3370
120	462	3358
121	466	3355
122	469	3344
123	471	3334
124	474	3323
125	477	3311
126	480	3300
127	483	3290
128	485	3280
129	488	3271
130	491	3260
131	494	3248
132	496	3238
133	499	3227
134	502	3217
135	504	3207
136	507	3197
137	510	3187
138	512	3177
139	515	3168
140	518	3159
141	521	3151
142	524	3142
143	526	3132
144	529	3122
145	532	3113
146	535	3105
147	538	3100
148	541	3093
149	544	3084
150	546	3074
151	558	3116
152	561	3109
153	564	3100
154	566	3090
155	569	3081
156	572	3072
157	575	3064
158	577	3056
159	580	3047
160	583	3039
161	587	3040
162	590	3034
163	593	3026
164	596	3017
165	599	3009
166	601	3001
167	604	2993
168	607	2985
169	609	2977
170	612	2969
171	615	2962
172	618	2954
173	620	2946
174	623	2938
175	625	2930
176	628	2922
177	631	2914
178	633	2907
179	637	2901
180	639	2895
181	642	2887
182	645	2879
183	647	2872
184	650	2866
185	654	2865
186	657	2859
187	661	2858
188	665	2857
189	668	2850
190	671	2842
191	674	2836
192	676	2830
193	679	2823
194	683	2819
195	685	2813
196	688	2806
197	691	2800
198	694	2794
199	696	2787
200	699	2780
201	702	2774
202	704	2767
203	707	2761
204	710	2754
205	713	2749
206	716	2745
207	719	2738
208	722	2733
209	725	2727
210	727	2721
211	730	2715
212	733	2709
213	736	2704
214	738	2698
215	742	2693
216	744	2687
217	747	2681
218	750	2676
219	753	2670
220	756	2665
221	759	2660
222	764	2662
223	766	2656
224	770	2653
225	773	2648
226	776	2644
227	779	2640
228	785	2643
229	792	2651
230	795	2649
231	798	2643
232	805	2652
233	809	2648
234	812	2643
235	814	2638
236	820	2641
237	823	2638
238	826	2633
239	829	2626
240	832	2621
241	836	2620
242	840	2618
243	843	2613
244	846	2607
245	849	2603
246	852	2598
247	855	2592
248	858	2588
249	860	2582
250	863	2577
251	866	2573
252	869	2568
253	872	2563
254	876	2560
255	879	2555
256	882	2550
257	885	2545
258	888	2541
259	890	2535
260	894	2531
261	896	2526
262	899	2521
263	902	2517
264	905	2512
265	910	2513
266	915	2513
267	919	2510
268	921	2505
269	925	2500
270	927	2495
271	930	2490
272	933	2486
273	936	2481
274	939	2477
275	942	2471
276	944	2466
277	948	2462
278	950	2457
279	953	2452
280	956	2447
281	961	2448
282	964	2443
283	967	2439
284	970	2435
285	973	2430
286	976	2426
287	979	2421
288	982	2417
289	985	2412
290	988	2407
291	990	2402
292	993	2397
293	996	2393
294	999	2388
295	1002	2383
296	1004	2378
297	1007	2373
298	1010	2368
299	1013	2363
300	1016	2359
301	1018	2354
302	1021	2350
303	1024	2345
304	1028	2343
305	1031	2339
306	1034	2335
307	1037	2331
308	1040	2326
309	1043	2322
310	1046	2318
311	1049	2313
312	1052	2309
313	1054	2304
314	1058	2300
315	1060	2296
316	1063	2291
317	1067	2289
318	1070	2285
319	1073	2280
320	1075	2275
321	1078	2271
322	1081	2267
323	1084	2262
324	1087	2258
325	1089	2252
326	1091	2247
327	1094	2242
328	1096	2237
329	1099	2231
330	1101	2226
331	1103	2221
332	1106	2215
333	1108	2211
334	1111	2205
335	1113	2201
336	1116	2196
337	1118	2191
338	1121	2186
339	1123	2181
340	1126	2176
341	1128	2171
342	1130	2166
343	1133	2161
344	1135	2156
345	1138	2151
346	1140	2146
347	1143	2142
348	1145	2137
349	1149	2134
350	1151	2129
351	1153	2124
352	1156	2119
353	1158	2114
354	1161	2110
355	1164	2105
356	1166	2100
357	1168	2095
358	1170	2090
359	1173	2086
360	1177	2084
361	1181	2083
362	1186	2082
363	1189	2077
364	1191	2072
365	1193	2067
366	1196	2064
367	1199	2059
368	1201	2055
369	1204	2050
370	1206	2045
371	1209	2041
372	1211	2037
373	1214	2032
374	1216	2028
375	1219	2023
