,shop_id,item_id,item_cnt_day
0,2,31,1.0
1,2,486,3.0
2,2,787,1.0
3,2,794,1.0
4,2,968,1.0
5,2,988,1.0
6,2,1075,1.0
7,2,1121,1.0
8,2,1377,1.0
9,2,1387,1.0
10,2,1389,1.0
11,2,1466,2.0
12,2,1486,1.0
13,2,1523,1.0
14,2,1534,1.0
15,2,1535,1.0
16,2,1540,2.0
17,2,1556,1.0
18,2,1560,1.0
19,2,1563,1.0
20,2,1569,1.0
21,2,1571,1.0
22,2,1578,4.0
23,2,1579,1.0
24,2,1583,9.0
25,2,1586,1.0
26,2,1813,1.0
27,2,1847,2.0
28,2,1857,1.0
29,2,1876,1.0
30,2,1914,4.0
31,2,1971,3.0
32,2,1988,1.0
33,2,2040,1.0
34,2,2047,2.0
35,2,2252,2.0
36,2,2269,4.0
37,2,2283,3.0
38,2,2285,1.0
39,2,2286,2.0
40,2,2288,1.0
41,2,2293,1.0
42,2,2354,1.0
43,2,2369,1.0
44,2,2422,2.0
45,2,2423,5.0
46,2,2431,2.0
47,2,2445,1.0
48,2,2703,1.0
49,2,2766,1.0
50,2,2788,3.0
51,2,2791,1.0
52,2,2799,1.0
53,2,2808,1.0
54,2,2813,2.0
55,2,2852,2.0
56,2,2859,2.0
57,2,2861,2.0
58,2,2868,1.0
59,2,2871,1.0
60,2,2873,1.0
61,2,2875,1.0
62,2,2876,2.0
63,2,2885,1.0
64,2,2918,2.0
65,2,2919,2.0
66,2,2921,1.0
67,2,2936,1.0
68,2,2954,1.0
69,2,2955,1.0
70,2,2958,1.0
71,2,2959,1.0
72,2,2975,1.0
73,2,3034,1.0
74,2,3077,1.0
75,2,3216,1.0
76,2,3243,2.0
77,2,3341,4.0
78,2,3343,2.0
79,2,3350,8.0
80,2,3351,4.0
81,2,3352,6.0
82,2,3353,3.0
83,2,3365,1.0
84,2,3423,1.0
85,2,3442,2.0
86,2,3443,2.0
87,2,3444,3.0
88,2,3445,2.0
89,2,3464,1.0
90,2,3479,1.0
91,2,3480,2.0
92,2,3543,1.0
93,2,3599,1.0
94,2,3676,1.0
95,2,3688,1.0
96,2,3692,1.0
97,2,3708,2.0
98,2,3731,4.0
99,2,3732,1.0
100,2,3734,1.0
101,2,3756,2.0
102,2,3835,1.0
103,2,3837,1.0
104,2,3838,2.0
105,2,3851,1.0
106,2,3871,1.0
107,2,3943,1.0
108,2,4045,1.0
109,2,4051,1.0
110,2,4056,1.0
111,2,4085,1.0
112,2,4242,1.0
113,2,4244,1.0
114,2,4248,1.0
115,2,4249,2.0
116,2,4336,1.0
117,2,4349,1.0
118,2,4351,3.0
119,2,4359,1.0
120,2,4360,1.0
121,2,4367,2.0
122,2,4385,1.0
123,2,4387,5.0
124,2,4388,1.0
125,2,4391,1.0
126,2,4478,1.0
127,2,4479,3.0
128,2,4493,1.0
129,2,4719,4.0
130,2,4721,1.0
131,2,4806,2.0
132,2,4838,2.0
133,2,4840,3.0
134,2,4841,1.0
135,2,4843,2.0
136,2,4869,1.0
137,2,4870,3.0
138,2,4871,1.0
139,2,4872,1.0
140,2,4892,2.0
141,2,4998,1.0
