iter	RMSE
0	0.8889627018
1	0.8885605899
2	0.8881607918
3	0.8878568124
4	0.8874910881
5	0.8871722939
6	0.8867998049
7	0.8864977776
8	0.8862324514
9	0.885925944
10	0.8855698044
11	0.8852871196
12	0.8849409293
13	0.8845825554
14	0.8843082415
15	0.8840102988
16	0.8837274755
17	0.8834835517
18	0.8832391403
19	0.8829455542
20	0.8826624659
21	0.8823443241
22	0.882043821
23	0.8817861045
24	0.8815715922
25	0.8813052019
26	0.8810310879
27	0.8807299161
28	0.880524663
29	0.8802841529
30	0.8800720232
31	0.8798949826
32	0.8796204845
33	0.8794012242
34	0.8791537357
35	0.878946707
36	0.8787386426
37	0.8784985163
38	0.8782565171
39	0.878032294
40	0.8777759222
41	0.8775329356
42	0.8773311845
43	0.8771447893
44	0.8769611862
45	0.8767386048
46	0.8765317762
47	0.8763439448
48	0.87611699
49	0.8758964672
50	0.8757141478
51	0.8755103591
52	0.8753018698
53	0.8751088702
54	0.874907989
55	0.8746887564
56	0.8744803344
57	0.8743000153
58	0.8741309998
59	0.8739536523
60	0.8737674015
61	0.8736101675
62	0.8734132921
63	0.8732635782
64	0.8730956536
65	0.8729228794
66	0.872757121
67	0.8726032421
68	0.872400789
69	0.8722224176
70	0.8720738236
71	0.8719052005
72	0.8717255988
73	0.8715644385
74	0.8713957504
75	0.8712182158
76	0.8710735875
77	0.8709116465
78	0.8707676758
79	0.8706016564
80	0.8704658707
81	0.8702850955
82	0.8701799044
83	0.870028356
84	0.8698933864
85	0.8697383889
86	0.8696202043
87	0.8694391078
88	0.8693312449
89	0.8691670629
90	0.8690199579
91	0.8688783808
92	0.868730483
93	0.8685792997
94	0.8684432143
95	0.8683069146
96	0.8681923589
97	0.8680616492
98	0.8679310678
99	0.8678129288
100	0.8676734335
101	0.8675668443
102	0.8674357148
103	0.8672983698
104	0.8671447327
105	0.867024253
106	0.8669354063
107	0.8667897589
108	0.8666525271
109	0.8665073164
110	0.8663614509
111	0.8662126656
112	0.8660886927
113	0.8659557642
114	0.8658223314
115	0.8657144093
116	0.8655999897
117	0.8655126387
118	0.8654417631
119	0.8653183992
120	0.8652152305
121	0.8651031804
122	0.8650223947
123	0.8649328059
124	0.8647702868
125	0.8646537714
126	0.8645561572
127	0.8644300999
128	0.8642968877
129	0.8641791731
130	0.8640622875
131	0.863963403
132	0.8638500842
133	0.8637244346
134	0.863633526
135	0.8635061773
136	0.8633928711
137	0.863268594
138	0.8631695733
139	0.8630419907
140	0.8629469384
141	0.862824979
142	0.8627215359
143	0.8626042878
144	0.8625237011
145	0.8623957565
146	0.8622887644
147	0.8621931765
148	0.8620879816
149	0.8620018387
150	0.8619044924
151	0.8617879286
152	0.8616960895
153	0.8616172882
154	0.8615204488
155	0.8614172814
156	0.8613498793
157	0.8612493153
158	0.8611664221
159	0.8610509751
160	0.8609534571
161	0.8608722029
162	0.8607681711
163	0.8606911629
164	0.8605780904
165	0.8604761249
166	0.8603955324
167	0.8602840081
168	0.86018593
169	0.8600693532
170	0.8599637256
171	0.8599068151
172	0.8598254671
173	0.85970969
174	0.8596260033
175	0.8595576139
176	0.8594443482
177	0.8593549614
178	0.8592910494
179	0.8592057903
180	0.8590837483
181	0.8589883718
182	0.8588509597
183	0.8587457475
184	0.8586720887
185	0.8585786282
186	0.8584755492
187	0.8583722565
188	0.8582990176
189	0.858174413
190	0.85812212
191	0.8580488261
192	0.8579606831
193	0.857852421
194	0.857759357
195	0.8576767668
196	0.8575561826
197	0.857451399
198	0.8573665756
199	0.8572722155
200	0.8571925518
201	0.8571224874
202	0.8570364601
203	0.8569659479
204	0.8568790366
205	0.8567935793
206	0.8567195881
207	0.8566366592
208	0.8565589696
209	0.8564699389
210	0.85638315
211	0.8562996944
212	0.8562051711
213	0.8560993899
214	0.8560105538
215	0.8559344157
216	0.8558422608
217	0.8557838737
218	0.8556802756
219	0.8555990896
220	0.8555242233
221	0.8554082491
222	0.8553331313
223	0.8552442581
224	0.8551461025
225	0.8550620941
226	0.8549726293
227	0.8548870426
228	0.8548171294
229	0.8547402233
230	0.8546698884
231	0.8546112471
232	0.8545651803
233	0.8544821561
234	0.8544061699
235	0.854328954
236	0.8542480692
237	0.8541716462
238	0.8540839416
239	0.8539957052
240	0.8539179638
241	0.8538300363
242	0.8537535175
243	0.8537039506
244	0.8536222955
245	0.8535472988
246	0.8534824766
247	0.8534091159
248	0.8533281036
249	0.8532426679
250	0.8531831543
251	0.8531237796
252	0.8530621454
253	0.8529938416
254	0.8529423319
255	0.8528681685
256	0.8528123297
257	0.8527436862
258	0.8526776337
259	0.852585475
260	0.8524967355
261	0.8524078077
262	0.8523418232
263	0.8522883484
264	0.8522096396
265	0.8521575535
266	0.8520839818
267	0.8519782062
268	0.8519046292
269	0.8518250607
270	0.8517478594
271	0.851679491
272	0.8516256057
273	0.8515267238
274	0.8514550792
275	0.8513905213
276	0.8513212619
277	0.8512296426
278	0.8511854156
279	0.8511297681
280	0.851082686
281	0.8510364488
282	0.850988463
283	0.8509169056
284	0.8508212628
285	0.850755249
286	0.8506905199
287	0.850605712
288	0.8505037262
289	0.8504334792
290	0.8503511977
291	0.8502825552
292	0.8502003115
293	0.8501482108
294	0.8500864923
295	0.8500200425
296	0.849967321
297	0.8498994525
298	0.8498217008
299	0.8497619998
300	0.8496739084
301	0.8495819618
302	0.8495031001
303	0.849442607
304	0.8493776957
305	0.8493079052
306	0.849248326
307	0.8491691158
308	0.8490981255
309	0.8490402817
310	0.8489842989
311	0.8489185886
312	0.8488573476
313	0.8487812927
314	0.8487078248
315	0.8486438059
316	0.8485780408
317	0.8485346138
318	0.8484912487
319	0.8484265424
320	0.8483278368
321	0.848258679
322	0.8481923421
323	0.8481408754
324	0.848060509
325	0.8479746294
326	0.8479020653
327	0.8478475355
328	0.8477673969
329	0.847666498
330	0.8475888955
331	0.8475332586
332	0.8474659657
333	0.8474043543
334	0.8473354386
335	0.8472337602
336	0.8471736423
337	0.8471064813
338	0.8470606211
339	0.846997741
340	0.8469464191
341	0.8469004595
342	0.8468241995
343	0.8467697081
344	0.8467004866
345	0.8466285056
346	0.8465642118
347	0.8464622375
348	0.8463848204
349	0.8463228705
350	0.8462496492
351	0.8461643737
352	0.8460977539
353	0.8460436701
354	0.8459675568
355	0.8459065959
356	0.8458759575
357	0.8457785792
358	0.8457175625
359	0.8456516898
360	0.8455868585
361	0.8455102293
362	0.8454470534
363	0.8453862502
364	0.8453267805
365	0.8452626229
366	0.8452122584
367	0.8451595945
368	0.8450996878
369	0.8450612228
370	0.8449961426
371	0.8449375399
372	0.8448785571
373	0.8448145314
