iter	Passed	Remaining
0	6	6079
1	10	5414
2	16	5364
3	21	5444
4	26	5218
5	31	5264
6	37	5256
7	43	5395
8	49	5467
9	53	5304
10	57	5185
11	61	5099
12	68	5176
13	73	5197
14	82	5417
15	87	5378
16	93	5389
17	100	5472
18	106	5496
19	111	5444
20	117	5488
21	123	5480
22	129	5484
23	138	5626
24	143	5604
25	149	5596
26	156	5648
27	164	5712
28	170	5692
29	175	5688
30	182	5695
31	186	5644
32	200	5881
33	210	5984
34	214	5926
35	219	5880
36	224	5849
37	229	5807
38	236	5815
39	240	5768
40	245	5739
41	253	5772
42	260	5791
43	267	5810
44	275	5849
45	282	5868
46	289	5866
47	293	5827
48	297	5781
49	304	5785
50	310	5784
51	315	5746
52	319	5710
53	324	5684
54	329	5654
55	334	5642
56	344	5706
57	350	5688
58	356	5684
59	361	5657
60	366	5642
61	374	5662
62	378	5632
63	382	5601
64	389	5602
65	396	5613
66	402	5610
67	410	5624
68	415	5602
69	419	5578
70	425	5567
71	431	5564
72	440	5595
73	446	5582
74	453	5595
75	460	5595
76	469	5624
77	475	5622
78	481	5609
79	485	5584
80	489	5556
81	502	5628
82	507	5606
83	511	5581
84	517	5567
85	521	5543
86	532	5586
87	537	5574
88	542	5555
89	547	5536
90	552	5515
91	557	5504
92	563	5491
93	568	5478
94	574	5468
95	581	5479
96	588	5478
97	594	5469
98	598	5446
99	602	5424
100	606	5402
101	612	5396
102	618	5385
103	623	5369
104	628	5353
105	633	5340
106	639	5336
107	644	5322
108	649	5310
109	654	5291
110	657	5267
111	663	5259
112	668	5248
113	675	5252
114	681	5246
115	689	5254
116	693	5236
117	699	5226
118	705	5223
119	713	5232
120	718	5220
121	723	5208
122	728	5195
123	738	5215
124	742	5194
125	747	5184
126	753	5176
127	757	5159
128	761	5142
129	767	5136
130	775	5143
131	786	5169
132	793	5171
133	802	5187
134	810	5190
135	816	5187
136	823	5187
137	829	5184
138	837	5187
139	842	5177
140	847	5161
141	853	5156
142	859	5150
143	863	5135
144	869	5125
145	875	5123
146	880	5106
147	886	5101
148	891	5092
149	897	5088
150	906	5099
151	912	5089
152	918	5083
153	924	5079
154	929	5066
155	934	5056
156	943	5063
157	950	5065
158	955	5055
159	963	5058
160	968	5046
161	974	5040
162	980	5035
163	985	5022
164	989	5008
165	995	5001
166	1004	5012
167	1012	5013
168	1017	5001
169	1021	4988
170	1026	4975
171	1030	4959
172	1035	4951
173	1041	4943
174	1046	4931
175	1052	4927
176	1058	4920
177	1062	4908
178	1071	4913
179	1076	4903
180	1080	4890
181	1085	4879
182	1091	4873
183	1097	4867
184	1102	4858
185	1109	4853
186	1114	4846
187	1119	4835
188	1124	4826
189	1130	4821
190	1136	4813
191	1142	4806
192	1149	4807
193	1154	4794
194	1160	4789
195	1167	4791
196	1173	4784
197	1178	4774
198	1182	4761
199	1186	4746
200	1197	4759
201	1204	4759
202	1210	4753
203	1215	4742
204	1219	4730
205	1225	4723
206	1229	4711
207	1236	4707
208	1240	4696
209	1245	4686
210	1250	4675
211	1256	4672
212	1261	4660
213	1267	4653
214	1272	4644
215	1276	4633
216	1280	4619
217	1295	4645
218	1302	4644
219	1309	4641
220	1314	4634
221	1320	4628
222	1324	4614
223	1329	4607
224	1336	4602
225	1341	4592
226	1345	4581
227	1351	4575
228	1355	4563
229	1361	4558
230	1369	4558
231	1374	4549
232	1378	4537
233	1383	4527
234	1387	4517
235	1393	4512
236	1398	4502
237	1403	4495
238	1408	4485
239	1413	4476
240	1418	4466
241	1422	4456
242	1429	4452
243	1435	4447
244	1439	4436
245	1445	4431
246	1452	4427
247	1460	4428
248	1466	4423
249	1471	4414
250	1475	4401
251	1480	4393
252	1486	4389
253	1491	4381
254	1497	4375
255	1502	4367
256	1507	4357
257	1512	4351
258	1516	4338
259	1521	4331
260	1528	4327
261	1532	4317
262	1537	4307
263	1542	4300
264	1546	4289
265	1550	4279
266	1559	4280
267	1563	4269
268	1568	4263
269	1573	4255
270	1578	4246
271	1586	4245
272	1593	4242
273	1599	4237
274	1604	4229
275	1609	4222
276	1615	4215
277	1620	4209
278	1625	4200
279	1631	4195
280	1637	4189
281	1641	4179
282	1646	4171
283	1652	4165
284	1657	4159
285	1661	4147
286	1665	4137
287	1671	4131
288	1676	4125
289	1684	4124
290	1691	4120
291	1696	4112
292	1700	4102
293	1704	4093
294	1708	4083
295	1715	4079
296	1719	4070
297	1726	4066
298	1731	4059
299	1738	4056
300	1743	4049
301	1750	4046
302	1756	4040
303	1761	4032
304	1767	4027
305	1772	4019
306	1778	4013
307	1784	4010
308	1791	4006
309	1796	3998
310	1802	3992
311	1808	3988
312	1813	3980
313	1819	3975
314	1824	3968
315	1831	3963
316	1836	3956
317	1842	3952
318	1851	3952
319	1859	3950
320	1864	3943
321	1868	3934
322	1876	3933
323	1882	3926
324	1897	3941
325	1902	3932
326	1907	3925
327	1912	3917
328	1916	3909
329	1923	3905
330	1928	3897
331	1933	3890
332	1939	3885
333	1944	3877
334	1950	3871
335	1955	3865
