iter	Logloss
0	0.685913156
1	0.6791490409
2	0.6728864087
3	0.6676830146
4	0.6625993798
5	0.6568518633
6	0.6514204308
7	0.6452459222
8	0.6399917177
9	0.6368469752
10	0.6315979352
11	0.6265525843
12	0.6214663607
13	0.6168110713
14	0.6121735404
15	0.6079647598
16	0.602710264
17	0.597888652
18	0.5938517468
19	0.5889986535
20	0.5849991047
21	0.5807098334
22	0.576900852
23	0.5736430077
24	0.5702317764
25	0.5671115777
26	0.562882407
27	0.5609748157
28	0.5573972779
29	0.5552855956
30	0.5510532595
31	0.5477553133
32	0.5451942187
33	0.5414010189
34	0.5377629145
35	0.5345397636
36	0.5323746445
37	0.5288604024
38	0.5260568272
39	0.5235303491
40	0.5205583879
41	0.5175317889
42	0.5145193235
43	0.5115740694
44	0.509159066
45	0.5062146741
46	0.5032312839
47	0.5001846384
48	0.498465304
49	0.4955482785
50	0.493913373
51	0.4912898497
52	0.4901801116
53	0.4874453355
54	0.4858343808
55	0.4839702423
56	0.4819358385
57	0.4803492178
58	0.4783531846
59	0.4762176128
60	0.4740351491
61	0.4727686379
62	0.4708353247
63	0.4685719255
64	0.4672746558
65	0.4654563452
66	0.4635797288
67	0.4615988946
68	0.4598657737
69	0.4582279875
70	0.4575426911
71	0.4558681464
72	0.4543263534
73	0.4532244208
74	0.4518609235
75	0.4505435004
76	0.4490762512
77	0.447499718
78	0.4464140372
79	0.4449076864
80	0.4437147013
81	0.442686992
82	0.4414750821
83	0.4405933964
84	0.440091441
85	0.4385266209
86	0.437100604
87	0.4356934817
88	0.4343404964
89	0.4331060199
90	0.432060395
91	0.4310293861
92	0.4297532969
93	0.4286055792
94	0.4281639948
95	0.4272803409
96	0.4259284195
97	0.4247324217
98	0.4238007727
99	0.4232045372
100	0.4228573991
101	0.422517137
102	0.4216239786
103	0.420610249
104	0.4196437396
105	0.4190207759
106	0.4179372644
107	0.4176387329
108	0.416964831
109	0.4161680817
110	0.4152737195
111	0.4149096792
112	0.4140269518
113	0.4132407565
114	0.4125036173
115	0.4118966916
116	0.4111808231
117	0.4104088641
118	0.4096582672
119	0.4088963442
120	0.4081666925
121	0.4072856669
122	0.406577505
123	0.4059162306
124	0.4051602199
125	0.4047987788
126	0.4040368848
127	0.4030854413
128	0.4023374901
129	0.4017717083
130	0.4010549076
131	0.4004558711
132	0.3999559521
133	0.3993960568
134	0.3991558398
135	0.3985834698
136	0.3979506772
137	0.3974797017
138	0.3972616494
139	0.3967009433
140	0.3964845206
141	0.3958102493
142	0.3951761113
143	0.3948274172
144	0.3941769458
145	0.3935863547
146	0.3931166054
147	0.3925589519
148	0.3922146324
149	0.3916725077
150	0.3911635447
151	0.3906197862
152	0.3904503991
153	0.3902214882
154	0.3896058586
155	0.3890363167
156	0.3886437461
157	0.3883170543
158	0.3877136788
159	0.3872845644
160	0.386820283
161	0.3865201808
162	0.3862041285
163	0.3861097546
164	0.3857161133
165	0.3854415333
166	0.3850502261
167	0.3847879837
168	0.3846131402
169	0.3840614665
170	0.3839770806
171	0.3836790402
172	0.3833680672
173	0.3830261802
174	0.3827652179
175	0.3823248052
176	0.3822040478
177	0.3818763186
