iter	Passed	Remaining
0	1	1116
1	2	1098
2	3	1098
3	3	966
4	4	886
5	5	920
6	6	934
7	7	919
8	8	909
9	8	876
10	9	872
11	10	876
12	11	876
13	12	882
14	13	893
15	14	887
16	15	881
17	16	876
18	16	863
19	17	864
20	18	849
21	19	847
22	19	834
23	20	819
24	20	810
25	21	800
26	22	803
27	22	789
28	23	793
29	24	784
30	25	788
31	26	791
32	28	833
33	29	834
34	30	827
35	30	827
36	31	825
37	32	825
38	33	825
39	34	825
40	35	825
41	36	826
42	37	824
43	37	824
44	38	824
45	39	823
46	40	825
47	41	824
48	42	822
49	43	821
50	44	821
51	45	821
52	45	815
53	46	815
54	47	808
55	47	808
56	48	806
57	49	802
58	50	801
59	51	801
60	52	801
61	52	800
62	53	797
63	54	798
64	55	794
65	56	793
66	56	792
67	57	790
68	59	799
69	60	798
70	60	792
71	61	792
72	62	791
73	62	787
74	63	787
75	64	786
76	65	784
77	66	783
78	67	781
79	68	782
80	68	781
81	69	780
82	70	779
83	71	778
84	71	773
85	72	773
86	73	773
87	75	777
88	75	777
89	76	774
90	77	774
91	78	774
92	79	773
93	80	772
94	80	768
95	81	768
96	82	770
97	83	771
98	84	769
99	85	766
100	85	761
101	86	757
102	86	757
103	87	757
104	88	757
105	90	761
106	91	761
107	91	756
108	92	756
109	93	756
110	94	755
111	94	751
112	95	750
113	96	749
114	97	749
115	98	748
116	99	748
117	100	747
118	100	747
119	101	746
120	102	746
121	103	746
122	104	746
123	105	745
124	106	745
125	107	744
126	108	742
127	108	741
128	109	741
129	110	741
130	111	740
131	112	740
132	113	739
133	114	738
134	114	736
135	115	734
136	116	733
137	117	732
138	117	730
139	118	730
140	119	730
141	121	732
142	122	731
143	123	731
144	123	731
145	124	730
146	125	731
147	126	730
148	127	729
149	128	728
150	129	727
151	130	726
152	130	724
153	131	723
154	132	722
155	133	721
156	134	721
157	135	720
158	136	720
159	137	719
160	137	718
161	138	717
162	139	717
163	140	715
164	141	715
165	142	714
166	143	713
167	143	713
168	144	712
169	145	711
170	146	708
171	146	707
172	147	706
173	148	704
174	149	704
175	150	703
176	151	703
177	152	703
178	153	703
179	154	703
180	155	702
181	156	701
182	157	701
183	158	701
184	159	704
185	160	702
186	161	701
187	162	700
188	163	700
189	164	699
190	164	698
191	165	698
192	166	697
193	167	696
194	168	696
195	171	702
196	173	705
197	173	704
198	174	704
199	175	703
200	176	702
201	179	707
202	179	706
203	180	705
204	181	705
205	182	702
206	183	702
207	184	701
208	185	700
209	185	699
210	186	697
211	187	695
212	187	694
213	188	693
214	189	692
215	190	691
216	191	691
217	192	690
218	193	688
219	193	687
220	194	686
221	195	685
222	196	685
223	197	684
224	198	683
225	199	682
226	200	681
227	200	680
228	201	679
229	202	677
230	203	677
231	204	676
232	205	676
233	206	675
234	207	674
235	208	673
236	208	671
237	209	670
238	210	670
239	211	669
240	212	668
241	213	670
242	215	670
243	215	669
244	216	668
245	217	667
246	218	665
247	219	664
248	220	663
249	220	662
250	221	662
251	222	661
252	223	660
253	224	659
254	225	658
255	226	657
256	227	656
257	228	656
258	228	654
259	229	654
260	231	654
261	231	653
262	232	652
263	233	651
264	234	650
265	235	649
266	236	649
267	240	658
268	242	657
269	242	656
270	243	655
271	244	654
272	245	653
273	246	653
274	247	652
275	248	651
276	249	650
277	249	649
278	250	648
279	251	646
280	252	645
281	253	644
282	253	643
283	254	641
284	254	639
285	255	638
286	256	636
287	257	635
288	258	634
289	259	634
290	260	633
291	260	632
292	261	631
293	262	630
294	263	629
295	264	628
296	265	628
297	266	627
298	267	626
299	268	625
300	269	625
301	270	624
302	272	626
303	273	625
304	274	624
305	274	623
306	275	622
307	276	621
308	277	620
309	278	620
310	279	619
311	280	618
312	281	617
313	282	616
314	283	615
315	283	614
316	284	613
317	285	611
318	286	610
319	286	609
320	287	608
321	288	607
322	289	606
323	290	605
324	291	604
325	292	604
326	293	603
327	293	601
328	294	600
329	294	598
330	295	597
331	296	596
332	297	595
333	297	594
334	298	593
335	299	592
336	300	591
337	301	590
338	302	588
339	302	587
340	303	586
341	304	585
342	305	585
343	306	584
344	307	583
345	308	582
346	309	581
347	310	581
348	311	580
349	312	579
350	313	579
351	314	578
352	314	577
353	315	575
354	316	574
355	316	572
356	316	570
357	317	570
358	318	569
359	319	568
360	320	567
361	321	566
362	322	565
363	323	564
364	324	563
365	324	562
366	325	561
367	326	560
368	326	558
369	327	557
370	328	556
371	329	556
372	330	555
373	331	554
374	331	553
375	332	552
376	333	551
377	334	550
378	335	549
379	336	548
380	337	547
381	338	546
382	338	545
383	339	544
384	340	544
385	341	543
386	342	541
387	342	540
388	343	539
389	344	539
390	345	538
391	346	537
392	347	536
393	348	535
394	349	535
395	350	534
396	350	533
397	351	531
398	352	530
399	353	529
400	354	529
401	355	528
402	356	527
403	357	526
404	357	525
405	358	524
406	359	523
407	360	522
408	360	521
409	361	520
410	362	519
411	363	518
412	364	518
413	365	517
414	366	516
415	367	515
416	368	514
417	369	514
418	369	512
419	370	512
420	371	511
421	372	510
422	373	509
423	373	507
424	374	506
425	375	505
426	376	504
427	376	503
428	377	502
429	378	501
430	379	500
431	380	499
432	381	498
433	381	498
434	382	497
435	383	496
436	385	496
437	386	495
438	387	494
439	387	493
440	388	492
441	389	491
442	390	490
443	390	489
444	391	488
445	392	487
446	393	486
447	394	485
448	395	484
449	396	484
450	397	483
451	398	482
452	399	482
453	400	481
454	401	480
455	401	479
456	402	478
457	403	477
458	404	477
459	405	476
460	406	475
461	407	474
462	408	473
463	409	472
464	409	471
465	410	470
466	411	469
467	412	468
468	413	468
469	414	467
470	415	466
471	415	465
472	416	464
473	417	463
474	418	462
475	419	461
476	420	460
477	421	459
478	421	458
479	422	457
480	423	456
481	424	455
482	425	455
